Name of the Instrument,ISIN,Industry/Rating
Honeywell Automation India Limited,INE671A01010,INDUSTRIAL CAPITAL GOODS
Reliance Industries Limited,INE002A01018,PETROLEUM PRODUCTS
Gillette India Limited,INE322A01010,CONSUMER NON DURABLES
Bayer Cropscience Limited,INE462A01022,PESTICIDES
Pfizer Limited,INE182A01018,PHARMACEUTICALS
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,PHARMACEUTICALS
Thomas Cook (India) Limited,INE332A01027,SERVICES
Housing Development Finance Corporation Limited,INE001A01036,FINANCE
Sundaram Clayton Limited,INE105A01035,AUTO ANCILLARIES
Shoppers Stop Limited,INE498B01024,RETAILING
Kotak Mahindra Bank Limited,INE237A01028,BANKS
Johnson Controls – Hitachi Air Conditioning India Limited,INE782A01015,CONSUMER DURABLES
Biocon Limited,INE376G01013,PHARMACEUTICALS
IDFC Bank Limited,INE092T01019,BANKS
Larsen & Toubro Limited,INE018A01030,CONSTRUCTION PROJECT
Shree Cement Limited,INE070A01015,CEMENT
Zee Entertainment Enterprises Limited,INE256A01028,MEDIA & ENTERTAINMENT
Bosch Limited,INE323A01026,AUTO ANCILLARIES
ICRA Limited,INE725G01011,FINANCE
MRF Limited,INE883A01011,AUTO ANCILLARIES
HDFC Bank Limited,INE040A01026,BANKS
IndusInd Bank Limited,INE095A01012,BANKS
ICICI Bank Limited,INE090A01021,BANKS
Kansai Nerolac Paints Limited,INE531A01024,CONSUMER NON DURABLES
Bata India Limited,INE176A01028,CONSUMER DURABLES
Maruti Suzuki India Limited,INE585B01010,AUTO
Hindustan Unilever Limited,INE030A01027,CONSUMER NON DURABLES
Tata Consultancy Services Limited,INE467B01029,SOFTWARE
Axis Bank Limited,INE238A01034,BANKS
Procter & Gamble Hygiene and Health Care Limited,INE179A01014,CONSUMER NON DURABLES
Infosys Limited,INE009A01021,SOFTWARE
Century Textiles & Industries Limited,INE055A01016,CEMENT
Jet Airways (India) Limited,INE802G01018,TRANSPORTATION
Yes Bank Limited,INE528G01027,BANKS
Grasim Industries Limited,INE047A01021,CEMENT
Cummins India Limited,INE298A01020,INDUSTRIAL PRODUCTS
Tata Motors Limited,INE155A01022,AUTO
ITC Limited,INE154A01025,CONSUMER NON DURABLES
Bharat Financial Inclusion Limited,INE180K01011,FINANCE
Sun Pharmaceutical Industries Limited,INE044A01036,PHARMACEUTICALS
Mahindra & Mahindra Limited,INE101A01026,AUTO
Vedanta Limited,INE205A01025,NON - FERROUS METALS
Container Corporation of India Limited,INE111A01025,TRANSPORTATION
Aditya Birla Capital Limited,INE674K01013,FINANCE
IDFC Limited,INE043D01016,FINANCE
Bharat Bijlee Limited,INE464A01028,INDUSTRIAL CAPITAL GOODS
United Breweries (Holdings) Limited ** #,INE696A01025,FINANCE
Magnasound (I) Limited ** #,IDIA00028484,MISCELLANEOUS
Eicher Motors Limited,INE066A01013,Auto
Bajaj Finance Limited,INE296A01024,Finance
Petronet LNG Limited,INE347G01014,Gas
Eris Lifesciences Limited,INE406M01024,Pharmaceuticals
Max Financial Services Limited,INE180A01020,Finance
ICICI Lombard General Insurance Company Limited,INE765G01017,Finance
HDFC Life insurance Company Limited,INE795G01014,Finance
Quess Corp Limited,INE615P01015,Commercial Services
Voltas Limited,INE226A01021,Construction Project
Tata Elxsi Limited,INE670A01012,Software
Bharat Petroleum Corporation Limited,INE029A01011,Petroleum Products
Larsen & Toubro Infotech Limited,INE214T01019,Software
Titan Company Limited,INE280A01028,Consumer Durables
United Spirits Limited,INE854D01024,Consumer Non Durables
Jubilant Life Sciences Limited,INE700A01033,Pharmaceuticals
Motherson Sumi Systems Limited,INE775A01035,Auto Ancillaries
Can Fin Homes Limited,INE477A01020,Finance
RBL Bank Limited,INE976G01028,Banks
Ashok Leyland Limited,INE208A01029,Auto
Indian Oil Corporation Limited,INE242A01010,Petroleum Products
WABCO India Limited,INE342J01019,Auto Ancillaries
Ajanta Pharma Limited,INE031B01049,Pharmaceuticals
Interglobe Aviation Limited,INE646L01027,Transportation
Manpasand Beverages Limited,INE122R01018,Consumer Non Durables
ABB India Limited,INE117A01022,Industrial Capital Goods
Britannia Industries Limited,INE216A01030,Consumer Non Durables
MphasiS Limited,INE356A01018,Software
Havells India Limited,INE176B01034,Consumer Durables
Bajaj Finserv Limited,INE918I01018,Finance
IPCA Laboratories Limited,INE571A01020,Pharmaceuticals
Abbott India Limited,INE358A01014,Pharmaceuticals
UltraTech Cement Limited,INE481G01011,Cement
Mahindra Logistics Limited,INE766P01016,Transportation
Hindustan Petroleum Corporation Limited,INE094A01015,Petroleum Products
Finolex Cables Limited,INE235A01022,Electrical Equipment
City Union Bank Limited,INE491A01021,Banks
Apollo Tyres Limited,INE438A01022,Auto
