ISIN,Quantity,Market Value,% to net asset
INE671A01010,247838,54513.58,7.55%
INE002A01018,4651330,52153.04,7.22%
INE322A01010,753410,48963.74,6.78%
INE462A01022,1021887,43116.48,5.97%
INE182A01018,1368850,39071.77,5.41%
INE159A01016,2456639,37226.68,5.16%
INE332A01027,14941212,34992.32,4.85%
INE001A01036,1676393,32997.28,4.57%
INE105A01035,878222,31907.12,4.42%
INE498B01024,4736904,25588.76,3.54%
INE237A01028,1833965,23043.77,3.19%
INE782A01015,1205848,21955.48,3.04%
INE376G01013,2968886,18675.78,2.59%
INE092T01019,39834981,17268.46,2.39%
INE018A01030,1056386,15186.08,2.10%
INE070A01015,85056,14660.34,2.03%
INE256A01028,3075269,14652.12,2.03%
INE323A01026,74600,14629.96,2.03%
INE725G01011,430200,13760.81,1.91%
INE883A01011,18356,12295.71,1.70%
INE040A01026,575098,12201.85,1.69%
INE095A01012,704662,11269.66,1.56%
INE090A01021,2945725,10609.03,1.47%
INE531A01024,2146726,10535.06,1.46%
INE176A01028,883131,10017.35,1.39%
INE585B01010,125214,9347.85,1.29%
INE030A01027,442611,8053.97,1.12%
INE467B01029,419916,7949.22,1.10%
INE238A01034,1101619,6828.94,0.95%
INE179A01014,65558,6479.82,0.90%
INE009A01021,965694,6363.44,0.88%
INE055A01016,672934,6210.84,0.86%
INE802G01018,1921491,5331.18,0.74%
INE528G01027,2760044,5017.76,0.69%
INE047A01021,601613,4966.92,0.69%
INE298A01020,444049,3773.08,0.52%
INE155A01022,1537482,2655.23,0.37%
INE154A01025,692915,1951.6,0.27%
INE180K01011,188583,1909.78,0.26%
INE044A01036,377425,1624.81,0.23%
INE101A01026,172593,1387.39,0.19%
INE205A01025,548343,1108.75,0.15%
INE111A01025,156243,1074.48,0.15%
INE674K01013,718645,718.65,0.10%
INE043D01016,1333350,581.34,0.08%
INE464A01028,41432,481,0.07%
INE696A01025,1449907,0,0.00%
IDIA00028484,3000,0,0.00%
