ISIN,Quantity,Market Value,% to net asset
INE040A01026,"10,49,265","22,262.26",3.39
INE531A01024,"40,88,311","20,063.39",3.05
INE491A01021,"96,88,196","18,896.83",2.87
INE235A01022,"41,45,052","18,826.83",2.86
INE438A01022,"76,95,303","18,157.07",2.76
INE331A01037,"26,83,669","17,172.80",2.61
INE237A01028,"13,50,892","16,973.96",2.58
INE226A01021,"29,79,100","16,489.32",2.51
INE640A01023,"8,61,207","16,425.37",2.5
INE513A01014,"2,64,692","15,081.49",2.29
INE115A01026,"30,84,425","15,073.58",2.29
INE053A01029,"1,01,91,506","15,052.85",2.29
INE342J01019,"2,07,958","14,485.94",2.2
INE988K01017,"1,12,53,507","14,083.76",2.14
INE663F01024,"9,68,016","13,945.72",2.12
INE299U01018,"60,26,546","13,743.54",2.09
INE092A01019,"19,31,964","13,653.19",2.08
INE018I01017,"15,32,430","13,247.86",2.02
INE264A01014,"1,67,964","12,841.27",1.95
INE603J01030,"14,81,509","12,777.27",1.94
INE029A01011,"34,93,744","12,673.56",1.93
INE203G01027,"46,89,677","12,533.16",1.91
INE212H01026,"7,40,261","12,415.29",1.89
INE093I01010,"27,06,125","11,929.95",1.81
INE246F01010,"67,72,160","11,908.84",1.81
INE169A01031,"26,35,580","11,866.70",1.81
INE660A01013,"7,94,058","11,424.11",1.74
INE036D01028,"1,25,30,441","11,152.09",1.7
INE548C01032,"26,45,000","11,111.65",1.69
INE486A01013,"16,29,004","10,887.45",1.66
INE437A01024,"8,62,865","10,857.43",1.65
INE298A01020,"12,01,671","10,210.60",1.55
INE685A01028,"5,42,781","9,614.82",1.46
INE716A01013,"6,71,609","9,339.06",1.42
INE058A01010,"1,45,666","9,279.65",1.41
INE347G01014,"39,27,799","8,804.16",1.34
INE528G01027,"48,00,077","8,726.54",1.33
INE823G01014,"12,17,476","8,687.30",1.32
INE217B01036,"17,43,720","8,598.28",1.31
INE010B01027,"24,56,836","8,560.85",1.3
INE849A01020,"22,89,496","8,294.84",1.26
INE263A01024,"93,44,209","8,218.23",1.25
INE787D01026,"8,76,836","8,101.09",1.23
INE462A01022,"1,91,626","8,085.28",1.23
INE038A01020,"33,75,865","7,636.21",1.16
INE976G01028,"12,70,000","7,310.12",1.11
IN9155A01020,"69,34,152","6,424.49",0.98
INE885A01032,"8,52,080","6,329.68",0.96
INE208A01029,"60,98,335","6,250.79",0.95
INE152A01029,"5,32,057","5,960.37",0.91
INE647O01011,"27,92,510","5,654.83",0.86
INE955V01021,"3,54,712","3,227.03",0.49
INE669E01016,"82,99,229","3,132.96",0.48
INE465A01025,"5,32,031","2,706.44",0.41
INE034A01011,"17,73,564","1,734.55",0.26
INE020801028,"9,77,402","1,469.52",0.22
INE425Y01011,"3,25,800",979.68,0.15
INE763G01038,"1,92,304",499.61,0.08
INE294Z01018,"65,687",363.56,0.06
INE202Z01029,"3,76,519",353.93,0.05
INE705G01021,"39,231",65.28,0.01
