ISIN,Quantity,Market Value,% to net asset
INE387A01021,"1,48,49,755","79,431.34",3.77
INE121A01016,"60,13,310","75,749.67",3.59
INE787D01026,"81,36,370","75,171.92",3.57
INE491A01021,"3,22,25,288","62,855.42",2.98
INE685A01028,"34,56,696","61,231.91",2.9
INE769A01020,"41,84,336","60,409.26",2.87
INE226A01021,"1,06,47,500","58,933.91",2.8
INE976G01028,"99,24,656","57,126.32",2.71
INE053A01029,"3,83,43,282","56,633.03",2.69
INE092A01019,"75,23,654","53,169.66",2.52
INE302A01020,"1,97,35,000","52,879.93",2.51
INE093A01033,"1,38,72,000","46,179.89",2.19
INE849A01020,"1,24,20,000","44,997.66",2.13
INE438A01022,"1,84,34,032","43,495.10",2.06
INE299U01018,"1,89,02,500","43,107.15",2.04
INE212H01026,"24,17,700","40,548.46",1.92
INE180A01020,"88,82,300","39,615.06",1.88
INE935A01035,"56,77,600","39,348.61",1.87
INE640A01023,"20,67,835","39,438.78",1.87
INE149A01033,"74,00,000","38,938.80",1.85
INE171A01029,"4,01,12,500","37,404.91",1.77
INE120A01034,"1,01,91,550","36,185.10",1.72
INE883A01011,"52,285","35,022.95",1.66
INE710A01016,"10,43,115","34,139.59",1.62
INE562A01011,"1,31,46,100","32,017.33",1.52
INE361B01024,"21,38,903","31,712.45",1.5
INE532F01054,"1,73,26,200","31,568.34",1.5
INE195A01028,"26,26,681","30,856.94",1.46
INE716A01013,"21,70,809","30,186.18",1.43
INE571A01020,"37,33,500","29,946.40",1.42
INE100A01010,"8,56,480","29,436.79",1.4
INE389H01022,"90,32,350","27,228.02",1.29
INE214T01019,"14,89,864","25,792.53",1.22
INE974X01010,"67,99,000","24,221.44",1.15
INE591G01017,"19,76,636","22,717.48",1.08
INE343H01029,"19,74,710","21,494.72",1.02
INE513A01014,"3,55,500","20,255.50",0.96
INE036D01028,"2,22,57,675","19,809.33",0.94
INE298J01013,"1,23,14,040","19,548.54",0.93
INE955V01021,"24,09,075","19,313.55",0.92
INE199G01027,"1,67,00,369","19,497.68",0.92
INE634I01029,"89,99,300","19,182.01",0.91
INE134E01011,"1,77,93,460","19,101.28",0.91
INE472A01039,"26,74,763","16,661.10",0.79
INE544R01013,"17,73,376","16,256.54",0.77
INE917M01012,"38,39,352","16,058.09",0.76
INE060A01024,"1,52,35,576","16,088.77",0.76
INE692A01016,"1,86,67,100","16,035.04",0.76
INE891D01026,"1,77,30,803","15,718.36",0.75
INE020B01018,"1,29,31,500","15,795.83",0.75
INE124G01033,"60,11,000","15,243.90",0.72
INE160A01022,"1,95,00,000","15,229.50",0.72
INE274J01014,"79,61,000","13,915.83",0.66
INE298A01020,"16,00,000","13,595.20",0.64
INE225D01027,"10,29,100","12,006.00",0.57
INE034A01011,"1,20,45,378","11,780.38",0.56
INE176A01028,"10,00,000","11,343.00",0.54
INE536A01023,"18,81,413","10,556.61",0.5
INE461C01038,"75,27,000","10,387.26",0.49
INE386A01015,"8,61,500","10,186.38",0.48
INE152A01029,"8,29,600","9,293.59",0.44
INE538A01037,"9,79,000","8,897.64",0.42
INE262H01013,"12,80,000","7,969.92",0.38
INE998I01010,"37,06,500","7,855.93",0.37
INE825A01012,"7,08,100","7,888.23",0.37
INE939A01011,"11,22,216","5,173.42",0.25
INE435G01025,"10,30,000","4,786.93",0.23
INE294Z01018,"4,46,125","2,633.65",0.12
INE256A04022,"22,05,000",169.79,0.01
INE069A01017,0,0,0
INE406A01037,0,0,0
INE110L14IH7,"4,800","23,986.01",1.14
