ISIN,Quantity,Market Value,% to net asset
INE090A01021,43446000,156470.77,5.86%
INE733E01010,85541628,127499.8,4.78%
INE397D01024,38032242,118850.76,4.45%
INE213A01029,79112114,118589.06,4.44%
INE205A01025,52164850,105477.33,3.95%
INE154A01025,37074332,104419.86,3.91%
INE062A01020,33920825,100371.72,3.76%
INE038A01020,37770165,85436.11,3.20%
INE009A01021,11748057,77413.82,2.90%
INE242A01010,49048123,67220.45,2.52%
INE044A01036,13947304,60043.14,2.25%
INE522F01014,19938345,48001.57,1.80%
INE860A01027,4730340,45617.03,1.71%
INE752E01010,19706365,39146.69,1.47%
INE018A01030,2699970,38813.42,1.45%
INE059A01026,7421065,38552.43,1.44%
INE238A01034,6109131,37870.5,1.42%
IN9155A01020,30750817,28490.63,1.07%
INE256A01028,5338639,25435.95,0.95%
INE669C01036,3322226,24024.68,0.90%
INE001A01036,1200000,23620.2,0.88%
INE494B01023,3907886,22323.8,0.84%
INE245A01021,28660000,22010.88,0.82%
INE021A01026,1572141,21586.28,0.81%
INE129A01019,5954516,21454.12,0.80%
INE171A01029,19068641,17781.51,0.67%
INE075A01022,5334157,17648.06,0.66%
INE510A01028,12544225,15680.28,0.59%
INE775A01035,9288021,15497.06,0.58%
INE094A01015,5354277,13559.71,0.51%
INE669E01016,33813932,12764.76,0.48%
INE092A01019,1753783,12393.98,0.46%
INE634I01029,5402622,11515.69,0.43%
INE043D01016,25473423,11106.41,0.42%
INE481Y01014,4144993,10735.53,0.40%
INE195J01029,7147493,10535.4,0.39%
INE040A01026,494455,10490.85,0.39%
INE123W01016,1739526,10399.76,0.39%
INE663F01024,672335,9685.99,0.36%
INE028A01039,8000000,9504,0.36%
INE589A01014,12477097,8690.3,0.33%
INE115A01026,1760603,8604.07,0.32%
INE155A01022,4960240,8566.33,0.32%
INE079A01024,3802884,8560.29,0.32%
INE763G01038,2888583,7504.54,0.28%
INE066F01012,806448,6506.83,0.24%
INE438A01022,2697076,6363.75,0.24%
INE365D01021,5109790,6193.07,0.23%
INE486A01013,844633,5645.1,0.21%
INE003A01024,538094,5633.31,0.21%
INE786A01032,1811660,5308.16,0.20%
INE162A01010,6704557,5229.55,0.20%
INE726G01019,1579896,5126.76,0.19%
INE016A01026,1190067,5125.02,0.19%
INE180A01020,1100693,4909.09,0.18%
INE274J01014,2773886,4848.75,0.18%
INE280A01028,464580,4325.24,0.16%
INE196A01026,1127624,4210.55,0.16%
INE410P01011,2137224,4169.72,0.16%
INE692A01016,4849660,4165.86,0.16%
INE823G01014,581341,4148.16,0.16%
INE901L01018,635471,3810.92,0.14%
INE093A01033,1000000,3329,0.12%
INE988K01017,1941638,2429.96,0.09%
INE036D01028,2341576,2084,0.08%
INE002L01015,7335241,1874.15,0.07%
INE876N01018,1999732,1626.78,0.06%
INE053A01029,1086855,1605.28,0.06%
INE264T01014,632064,1572.89,0.06%
INE385W01011,649024,1496.32,0.06%
INE199G01027,1251103,1460.66,0.05%
INE103A01014,1848996,1395.99,0.05%
INE263A01024,1408458,1238.74,0.05%
INE834I01025,200000,1096,0.04%
INE012A01025,71870,1083.87,0.04%
INE765G01017,106876,923.89,0.03%
INE442H01029,711520,885.13,0.03%
INE470Y01017,480928,864.47,0.03%
INE212I01016,257918,609.85,0.02%
INE852F01015,447141,579.05,0.02%
INE667A01018,1188354,467.02,0.02%
INE278H01035,141094,450.51,0.02%
INE745G01035,55735,409.65,0.02%
INE020801028,184938,278.05,0.01%
INE425Y01011,61646,185.37,0.01%
IN9081A01010,98482,88.19,^
IN0020160050,5000000,4948.88,0.19%
IN1620150145,700000,707.36,0.03%
INE090A08TW2,3815,37472.91,1.40%
INE238A08443,3550,34163.92,1.28%
INE115A07NK7,3000,30175.53,1.13%
INE062A08181,2500,25009.13,0.94%
INE238A08427,2450,23729.79,0.89%
INE694L07115,2259,22069.19,0.83%
INE020B08AV9,1950,19310.69,0.72%
INE090A08UB4,1700,16547.24,0.62%
INE028A08083,1250,12033.4,0.45%
INE040A08377,1055,10365.32,0.39%
INE095A08074,1050,10204.67,0.38%
INE901L08021,1000,10029.8,0.38%
INE095A08066,1000,9730.73,0.36%
INE205A07139,760,7437.28,0.28%
INE134E08JD1,650,6194.7,0.23%
INE205A07147,559,5460.22,0.20%
INE414G07CC1,540000,5275.04,0.20%
INE949L08418,500,5025.73,0.19%
INE134E08GO4,500,5008.87,0.19%
INE205A07097,500,4952.46,0.19%
INE017A08243,500,4878.98,0.18%
INE115A07NA8,400,3974.33,0.15%
INE238A08401,400,3858.92,0.14%
INE001A07QB1,35,3605.16,0.14%
INE028A08091,300,2927.5,0.11%
INE020B08856,250,2511.06,0.09%
INE134E08IY9,250,2462.06,0.09%
