ISIN,Quantity,Market Value,% to net asset
INE040A01026,493900,10479.08,9.56%
INE237A01028,634362,7970.76,7.27%
INE585B01010,83244,6214.58,5.67%
INE765G01017,707874,6119.22,5.58%
INE001A01036,302671,5957.62,5.43%
INE795G01014,1496898,5795.24,5.29%
INE117A01022,411382,5499.15,5.02%
INE467B01029,285090,5396.9,4.92%
INE066A01013,20334,4709.02,4.29%
INE018A01030,295200,4243.65,3.87%
INE216A01030,135482,4220.81,3.85%
INE180A01020,915647,4083.79,3.72%
INE111A01025,581496,3998.95,3.65%
INE356A01018,382080,3891.29,3.55%
INE090A01021,965661,3477.83,3.17%
INE176B01034,447671,3095.64,2.82%
INE918I01018,46329,3000.71,2.74%
INE009A01021,450000,2965.28,2.70%
INE571A01020,364336,2922.34,2.67%
INE358A01014,37726,2835.73,2.59%
INE406M01024,356878,2452.29,2.24%
INE615P01015,370706,2447.77,2.23%
INE481G01011,58714,2343.25,2.14%
INE766P01016,443899,2295.62,2.09%
INE094A01015,786688,1992.29,1.82%
