ISIN,Quantity,Market Value,% to net asset
INE040A01026,506253,10741.17,7.39%
INE118A01012,274678,8103,5.58%
INE262H01013,1062436,6615.26,4.55%
INE768C01010,386260,5254.87,3.62%
INE090A01021,1380467,4971.75,3.42%
INE238A01034,755179,4681.35,3.22%
INE787D01026,442150,4085.02,2.81%
INE288A01013,107222,3404.89,2.34%
INE356A01018,320809,3267.28,2.25%
INE158A01026,95443,2962.79,2.04%
INE998I01010,1172489,2485.09,1.71%
INE089A01023,85000,2224.03,1.53%
INE571A01020,236663,1898.27,1.31%
INE326A01037,222500,1878.57,1.29%
INE203G01027,679868,1816.95,1.25%
INE044A01036,326500,1405.58,0.97%
INE725G01011,37835,1210.23,0.83%
INE182A01018,33600,959.06,0.66%
INE001A01036,370500,7292.74,5.02%
INE081A01012,986730,5141.36,3.54%
INE585B01010,63825,4764.86,3.28%
INE055A01016,422400,3898.54,2.68%
INE528G01027,1727250,3140.14,2.16%
INE062A01020,786000,2325.77,1.60%
INE115A01026,207900,1016.01,0.70%
US02079K1079,18730,13560.66,9.34%
US86959X1072,49029,6982.55,4.81%
US30303M1027,60343,5611.28,3.86%
US6410694060,74580,4202.76,2.89%
US88579Y1010,29908,3953.93,2.72%
US4592001014,49095,3874.02,2.67%
