ISIN,Quantity,Market Value,% to net asset
INE823G01014,"10,77,439","7,688.07",5.35
INE040A01026,"3,10,000","6,577.27",4.57
INE257A01026,"79,00,000","5,774.90",4.02
INE896L01010,"14,00,000","4,853.80",3.38
INE473B01035,"7,59,315","4,729.39",3.29
INE472A01039,"7,12,950","4,440.97",3.09
INE426A01027,"92,65,221","4,428.78",3.08
INE107A01015,"17,00,000","4,375.80",3.04
INE285K01026,"16,47,028","4,353.10",3.03
INE196A01026,"11,00,000","4,107.40",2.86
INE209A01019,"6,79,573","4,090.69",2.84
INE979B01015,"1,30,000","3,739.97",2.6
INE763G01038,"14,00,000","3,637.20",2.53
INE017A01032,"11,01,990","3,479.53",2.42
INE176B01034,"4,62,240","3,196.39",2.22
INE216P01012,"3,65,418","3,133.46",2.18
INE988K01017,"25,00,000","3,128.75",2.18
INE536A01023,"5,50,000","3,086.05",2.15
INE131C01011,"57,365","3,069.03",2.13
INE146L01010,"14,89,000","3,060.64",2.13
INE401H01017,"2,30,000","2,995.75",2.08
INE663B01015,"9,83,959","2,977.46",2.07
INE548C01032,"7,00,000","2,940.70",2.05
INE600K01018,"2,40,000","2,940.24",2.04
INE891D01026,"33,00,000","2,925.45",2.03
INE131B01039,"3,79,457","2,780.66",1.93
INE285A01027,"10,00,000","2,612.50",1.82
INE276A01018,"2,10,000","2,540.37",1.77
INE365D01021,"18,70,000","2,266.44",1.58
INE935N01012,"1,06,000","2,186.67",1.52
INE085J01014,"5,70,000","2,163.72",1.5
INE451D01011,"2,99,202","2,120.29",1.47
INE417C01014,"90,000","1,947.87",1.35
INE945H01013,"6,18,974","1,725.70",1.2
INE959A01019,"4,70,000","1,664.98",1.16
INE527H01019,"5,70,000","1,476.87",1.03
INE845D01014,"4,70,000","1,398.02",0.97
INE460H01021,"13,46,885","1,393.35",0.97
INE871C01038,"3,60,000","1,388.34",0.97
INE818H01020,"29,51,222","1,238.04",0.86
INE052I01032,"22,00,000","1,200.10",0.83
INE742B01025,"12,24,348","1,144.15",0.8
INE007A01025,"50,000",806.78,0.56
IN9473B01017,"24,375",108.23,0.08
