ISIN,Quantity,Market Value,% to net asset
INE002A01018,4667136,57272.76,7.77%
INE671A01010,252064,53920.02,7.31%
INE322A01010,772364,50204.05,6.81%
INE462A01022,1048194,45885.22,6.22%
INE182A01018,1404391,42653.46,5.78%
INE001A01036,1945206,37393.67,5.07%
INE159A01016,2497874,35201.29,4.77%
INE332A01027,15266527,33983.29,4.61%
INE105A01035,880942,26163.1,3.55%
INE498B01024,4888644,25056.74,3.40%
INE237A01028,1833965,23030.02,3.12%
INE018A01030,1743261,22911.68,3.11%
INE782A01015,1209900,21814.5,2.96%
INE376G01013,2976779,19298.46,2.62%
INE092T01019,42311501,19124.8,2.59%
INE323A01026,74823,14105.41,1.91%
INE070A01015,85056,13366.3,1.81%
INE725G01011,432323,13172.02,1.79%
INE040A01026,620098,12897.73,1.75%
INE256A01028,3083096,11721.93,1.59%
INE883A01011,18454,11310.31,1.53%
INE090A01021,3000725,10936.14,1.48%
INE095A01012,704662,10609.04,1.44%
INE531A01024,2348351,10481.86,1.42%
INE176A01028,887541,9928.03,1.35%
INE467B01029,419916,8457.53,1.15%
INE585B01010,125214,8315.65,1.13%
INE238A01034,1101619,7961.4,1.08%
INE030A01027,444809,7843.09,1.06%
INE009A01021,965694,7238.36,0.98%
INE179A01014,66778,6616.87,0.90%
INE528G01027,2760044,5357.25,0.73%
INE055A01016,672934,5340.4,0.72%
INE802G01018,1957559,4659.97,0.63%
INE047A01021,601613,4337.63,0.59%
INE298A01020,452706,3568.23,0.48%
INE155A01022,1537482,2785.92,0.38%
INE154A01025,692915,1930.81,0.26%
INE180K01011,188583,1784.56,0.24%
INE044A01036,377425,1598.21,0.22%
INE101A01026,172593,1173.72,0.16%
INE205A01025,548343,1082.15,0.15%
INE111A01025,156243,1024.17,0.14%
INE674K01013,718645,582.1,0.08%
INE043D01016,1333350,528.01,0.07%
INE464A01028,41432,466.44,0.06%
INE696A01025,1449907,0,0.00%
IDIA00028484,3000,0,0.00%
