ISIN,Quantity,Market Value,% to Net Asset
INE040A01026,"2,20,000",4575.89,8.75
INE002A01018,"3,60,000",4417.74,8.45
INE090A01021,"11,00,000",4008.95,7.66
INE118A01012,"1,40,000",3985.87,7.62
INE009A01021,"5,20,000",3897.66,7.45
INE092A01019,"4,50,000",3034.35,5.8
INE672A01018,"2,59,985",2220.79,4.25
INE438A01022,"8,50,000",1736.98,3.32
INE528G01027,"8,09,000",1570.27,3
IN9155A01020,"16,50,000",1545.23,2.95
INE860A01027,"1,50,000",1507.8,2.88
INE205A01025,"7,50,000",1480.13,2.83
INE047A01021,"2,00,000",1442,2.76
INE823G01014,"1,76,000",1247.49,2.38
INE988K01017,"10,00,000",1199.5,2.29
INE825A01012,"1,09,000",1174.26,2.24
INE00R701025,"1,04,800",1080.85,2.07
INE522F01014,"4,60,000",1033.39,1.98
INE376G01013,"1,50,000",972.45,1.86
INE171A01029,"10,00,000",859,1.64
INE089A01023,"30,000",816.24,1.56
INE868B01028,"10,00,000",795.5,1.52
INE213A01029,"5,50,000",776.88,1.49
INE128A01029,"3,00,000",642.3,1.23
INE891D01026,"8,50,000",623.9,1.19
INE548C01032,"1,50,000",616.35,1.18
INE532F01054,"4,00,000",616.2,1.18
INE733E01010,"4,00,000",558.8,1.07
INE154A01025,"2,00,000",557.3,1.07
INE064C01014,"7,00,000",467.25,0.89
INE017A01032,"1,54,000",466.24,0.89
INE917M01012,"1,27,033",407.9,0.78
INE787D01026,"49,800",403.68,0.77
INE576I01022,"3,70,000",392.02,0.75
