ISIN,Quantity,Market Value,% to net asset
INE387A01021,"1,48,49,755","78,391.86",3.85
INE121A01016,"63,39,310","74,315.73",3.65
INE769A01020,"42,96,869","69,852.05",3.43
INE787D01026,"83,03,370","67,307.12",3.3
INE685A01028,"34,56,696","62,870.39",3.08
INE491A01021,"3,22,25,288","61,550.30",3.02
INE226A01021,"1,06,47,500","57,613.62",2.83
INE976G01028,"99,24,656","56,436.56",2.77
INE053A01029,"3,83,43,282","54,466.63",2.67
INE092A01019,"75,23,654","50,732.00",2.49
INE093A01033,"1,38,72,000","47,525.47",2.33
INE302A01020,"1,97,35,000","44,778.72",2.2
INE849A01020,"1,24,20,000","43,973.01",2.16
INE299U01018,"1,89,02,500","40,441.90",1.98
INE640A01023,"20,67,835","39,703.47",1.95
INE212H01026,"24,17,700","38,857.27",1.91
INE438A01022,"1,84,34,032","37,669.94",1.85
INE935A01035,"56,77,600","36,998.08",1.82
INE120A01034,"1,01,91,550","35,614.37",1.75
INE180A01020,"88,82,300","35,364.88",1.74
INE171A01029,"4,01,12,500","34,456.64",1.69
INE710A01016,"10,43,115","33,528.85",1.65
INE149A01033,"74,00,000","32,878.20",1.61
INE716A01013,"21,70,809","32,772.70",1.61
INE361B01024,"21,38,903","32,216.16",1.58
INE883A01011,"50,000","30,644.60",1.5
INE100A01010,"8,56,480","29,687.31",1.46
INE562A01011,"1,31,46,100","29,631.31",1.45
INE571A01020,"37,33,500","28,727.42",1.41
INE532F01054,"1,73,26,200","26,691.01",1.31
INE195A01028,"26,26,681","26,122.34",1.28
INE591G01017,"19,76,636","25,908.76",1.27
INE214T01019,"14,45,615","25,455.11",1.25
INE974X01010,"67,99,000","23,463.35",1.15
INE389H01022,"90,32,350","22,124.74",1.09
INE692A01016,"2,55,97,080","21,181.58",1.04
INE343H01029,"19,54,710","19,708.36",0.97
INE036D01028,"2,22,57,675","19,575.63",0.96
INE955V01021,"24,09,075","19,313.55",0.95
INE513A01014,"3,55,500","18,724.72",0.92
INE634I01029,"89,99,300","18,516.06",0.91
INE134E01011,"1,77,93,460","18,425.13",0.9
INE199G01027,"1,67,00,369","17,176.33",0.84
INE298J01013,"1,23,14,040","16,784.04",0.82
INE060A01024,"1,52,35,576","16,187.80",0.79
INE020B01018,"1,29,31,500","16,125.58",0.79
INE472A01039,"26,74,763","15,925.54",0.78
INE544R01013,"17,73,376","14,996.55",0.74
INE160A01022,"1,95,00,000","15,112.50",0.74
INE124G01033,"60,11,000","13,879.40",0.68
INE891D01026,"1,77,30,803","13,014.41",0.64
INE298A01020,"16,00,000","12,611.20",0.62
INE917M01012,"38,39,352","12,328.16",0.6
INE225D01027,"10,29,100","11,950.42",0.59
INE176A01028,"10,00,000","11,186.00",0.55
INE034A01011,"1,20,45,378","10,618.00",0.52
INE538A01037,"12,04,000","10,391.12",0.51
INE536A01023,"18,81,413","10,197.26",0.5
INE386A01015,"8,61,500","9,921.90",0.49
INE461C01038,"75,27,000","9,717.36",0.48
INE152A01029,"8,29,600","9,088.68",0.45
INE274J01014,"53,16,500","8,913.11",0.44
INE262H01013,"12,80,000","7,706.88",0.38
INE998I01010,"37,12,488","7,640.30",0.37
INE825A01012,"7,08,100","7,628.36",0.37
INE939A01011,"11,22,216","5,177.34",0.25
INE435G01025,"10,30,000","4,335.79",0.21
INE294Z01018,"4,46,125","2,633.65",0.13
INE256A04022,"22,05,000",165.38,0.01
INE001A07OK7,50,"5,006.23",0.25
INE691I14IC3,"10,000","50,000.00",2.45
INE114A14GN4,"6,000","30,000.00",1.47
INE674K14396,"1,500","7,500.00",0.37
