ISIN,Quantity,Market Value,% to net asset
INE733E01010,70091549,97917.89,8.95%
INE090A01021,18356037,66898.58,6.12%
INE397D01024,19721720,60427.35,5.52%
INE205A01025,30000000,59205,5.41%
INE213A01029,35101195,49580.44,4.53%
INE154A01025,17472821,48688.02,4.45%
INE038A01020,16954776,35350.71,3.23%
INE062A01020,11956562,35110.44,3.21%
INE044A01036,7138080,30226.2,2.76%
INE242A01010,20600416,28191.67,2.58%
INE017A01032,4688898,14195.64,1.30%
INE171A01029,16400000,14087.6,1.29%
INE238A01034,1662000,12011.27,1.10%
INE009A01021,1500000,11243.25,1.03%
INE522F01014,4645396,10435.88,0.95%
INE155A01022,4342666,7868.91,0.72%
INE059A01026,1463013,7568.17,0.69%
INE131A01031,8439990,7190.87,0.66%
IN9155A01020,7547123,7067.88,0.65%
INE669E01016,23000000,6923,0.63%
INE752E01010,3623530,6833.98,0.62%
INE265F01028,1240000,6814.42,0.62%
INE860A01027,661229,6646.67,0.61%
INE256A01028,1721539,6545.29,0.60%
INE245A01021,8784571,6263.4,0.57%
INE028A01039,4700000,5285.15,0.48%
INE517F01014,6128153,5205.87,0.48%
INE123W01016,862183,5129.99,0.47%
INE274J01014,2783057,4665.8,0.43%
INE199G01027,4518089,4646.85,0.42%
INE079A01024,2204697,4627.66,0.42%
INE115A01026,998333,4481.02,0.41%
INE438A01022,2000000,4087,0.37%
INE942G01012,3996186,3878.3,0.35%
INE053A01029,2719163,3862.57,0.35%
INE366I01010,1400000,3829,0.35%
INE036D01028,4261066,3747.61,0.34%
INE823G01014,489877,3472.25,0.32%
INE003A01024,332054,3420.49,0.31%
INE692A01016,4000000,3310,0.30%
INE510A01028,2899970,3265.37,0.30%
INE950I01011,1840755,3244.33,0.30%
INE791I01019,1471568,3096.91,0.28%
INE092A01019,400000,2697.2,0.25%
INE881D01027,66753,2537.31,0.23%
INE572A01028,724624,2298.51,0.21%
INE786A01032,704057,2098.44,0.19%
INE093A01033,600000,2055.6,0.19%
INE180A01020,500000,1990.75,0.18%
INE107A01015,824177,1811.54,0.17%
INE178A01016,734968,1779.73,0.16%
INE220B01022,480000,1765.2,0.16%
INE930H01023,300000,1572.45,0.14%
INE262H01013,250000,1505.25,0.14%
INE012A01025,100000,1423.35,0.13%
INE486A01013,187056,1297.98,0.12%
INE855B01025,973767,1167.55,0.11%
INE043D01016,2685361,1063.4,0.10%
INE002L01015,4261764,1031.35,0.09%
INE081A01012,209906,1000.62,0.09%
INE494B01023,200000,1000,0.09%
INE589A01014,782328,503.43,0.05%
INE580C01019,593224,118.05,0.01%
INE256A04022,83124300,6234.32,0.57%
INE238A08443,2000,19295.62,1.76%
INE001A07PT5,125,12404.94,1.13%
INE115A07NK7,1000,10065.42,0.92%
INE261F08444,1000,10011.08,0.92%
INE134E08IW3,1000,9851.63,0.90%
INE764L07082,650,8672.69,0.79%
INE238A08427,750,7281.14,0.67%
INE749A08126,650,6299,0.58%
INE134E08IS1,600,5900.75,0.54%
INE040A08377,500,4912.82,0.45%
INE002A08500,400,3847.69,0.35%
INE134E08JK6,275,2702.39,0.25%
INE020B08BD5,250,2525.19,0.23%
INE090A08TZ5,250,2407.66,0.22%
INE134E08GR7,150,1495.97,0.14%
INE134E08IJ0,150,1455.59,0.13%
INE774D07KS4,100,1410.92,0.13%
INE413O07163,500,4970.98,0.45%
INE403D08017,1000,10733.62,0.98%
INE403D08025,1000,10677.83,0.98%
INE790Z23019,10000000,10890,1.00%
