ISIN,Quantity,Market Value,% to net asset
INE040A01026,478696,9956.64,8.72%
INE009A01021,1016153,7616.57,6.67%
INE001A01036,377865,7263.89,6.36%
INE090A01021,1870812,6818.17,5.97%
INE018A01030,494894,6504.39,5.70%
INE095A01012,398821,6004.45,5.26%
INE066A01013,23431,4453.24,3.90%
INE296A01024,162013,4171.59,3.65%
INE347G01014,1822080,4147.97,3.63%
INE585B01010,58991,3917.68,3.43%
INE406M01024,609619,3824.75,3.35%
INE180A01020,888846,3538.94,3.10%
INE765G01017,400880,3528.75,3.09%
INE795G01014,866827,3221.13,2.82%
INE615P01015,452770,2842.26,2.49%
INE226A01021,516564,2795.13,2.45%
INE670A01012,318410,2782.9,2.44%
INE029A01011,728484,2516.55,2.20%
INE214T01019,135524,2386.37,2.09%
INE280A01028,235158,2341.7,2.05%
INE854D01024,390314,2106.91,1.84%
INE700A01033,288994,2032.93,1.78%
INE775A01035,1430586,2011.4,1.76%
INE477A01020,705166,1767.85,1.55%
INE976G01028,307860,1750.65,1.53%
INE208A01029,1951575,1586.63,1.39%
INE242A01010,1137732,1556.99,1.36%
INE342J01019,21986,1369.38,1.20%
INE467B01029,67044,1350.33,1.18%
INE031B01049,121827,1243.43,1.09%
INE646L01027,68825,817.5,0.72%
INE122R01018,258735,194.44,0.17%
