ISIN,Quantity,Market Value,% to net asset
INE040A01026,580253,12068.97,7.89%
INE118A01012,336933,9592.65,6.27%
INE262H01013,1354271,8154.07,5.33%
INE787D01026,684476,5548.36,3.62%
INE238A01034,755179,5457.68,3.57%
INE158A01026,203816,5327.65,3.48%
INE090A01021,1380467,5031.11,3.29%
INE768C01010,386260,4919.41,3.21%
INE288A01013,107222,3458.66,2.26%
INE356A01018,320809,3216.59,2.10%
INE998I01010,1173218,2414.48,1.58%
INE089A01023,85000,2312.68,1.51%
INE326A01037,222500,1948.43,1.27%
INE203G01027,679868,1927.77,1.26%
INE571A01020,236663,1821,1.19%
INE044A01036,326500,1382.56,0.90%
INE725G01011,37835,1152.76,0.75%
INE001A01036,411500,7910.47,5.17%
INE081A01012,986730,4703.74,3.07%
INE585B01010,63825,4238.71,2.77%
INE055A01016,341400,2709.35,1.77%
INE062A01020,786000,2308.09,1.51%
INE528G01027,810250,1572.7,1.03%
INE115A01026,207900,933.16,0.61%
INE155A01022,112000,202.94,0.13%
US02079K1079,19694,15253.01,9.97%
US86959X1072,49029,7251.25,4.74%
US30303M1027,60343,6455.09,4.22%
US4592001014,49095,4691.82,3.07%
US6410694060,74580,4617.54,3.02%
US88579Y1010,29908,4238.37,2.77%
US0231351067,680,807.81,0.53%
