ISIN,Quantity,Market Value,% to net asset
INE823G01014,"10,77,439","7,636.89",5.08
INE040A01026,"3,10,000","6,447.85",4.29
INE401H01017,"5,25,470","6,317.20",4.2
INE257A01026,"79,00,000","5,111.30",3.4
INE473B01035,"7,59,315","5,041.47",3.35
INE427F01016,"17,85,729","5,000.04",3.32
INE472A01039,"7,50,748","4,469.95",2.97
INE896L01010,"14,00,000","4,428.20",2.94
INE600K01018,"3,90,000","4,365.27",2.9
INE152M01016,"39,00,000","4,149.60",2.76
INE285K01026,"17,19,793","4,142.98",2.75
INE196A01026,"11,00,000","4,034.25",2.68
INE209A01019,"6,79,573","3,807.65",2.53
INE426A01027,"93,00,000","3,803.70",2.53
INE979B01015,"1,30,000","3,785.15",2.52
INE107A01015,"17,00,000","3,736.60",2.48
INE131C01011,"57,365","3,466.97",2.3
INE017A01032,"11,01,990","3,336.27",2.22
INE176B01034,"4,62,240","3,297.85",2.19
INE022Q01020,"20,49,837","3,253.09",2.16
INE216P01012,"3,65,418","3,120.12",2.07
INE974X01010,"8,80,093","3,037.20",2.02
INE536A01023,"5,50,000","2,981.00",1.98
INE763G01038,"14,00,000","2,888.90",1.92
INE548C01032,"7,00,000","2,876.30",1.91
INE131B01039,"3,79,457","2,785.78",1.85
INE146L01010,"14,89,000","2,570.76",1.71
INE663B01015,"9,83,959","2,481.54",1.65
INE891D01026,"33,00,000","2,422.20",1.61
INE935N01012,"1,06,000","2,404.66",1.6
INE285A01027,"10,00,000","2,401.00",1.6
INE276A01018,"2,10,000","2,363.24",1.57
INE451D01011,"3,21,751","2,249.04",1.49
INE365D01021,"18,70,000","2,138.35",1.42
INE085J01014,"5,70,000","2,036.61",1.35
INE417C01014,"90,000","1,754.37",1.17
INE945H01013,"6,18,974","1,644.61",1.09
INE959A01019,"4,70,000","1,623.62",1.08
INE527H01019,"5,70,000","1,379.12",0.92
INE845D01014,"4,70,000","1,351.25",0.9
INE871C01038,"3,60,000","1,284.12",0.85
INE052I01032,"22,00,000","1,125.30",0.75
INE742B01025,"9,21,206",770.59,0.51
INE988K01017,"4,97,536",596.79,0.4
IN9473B01017,"1,19,785",567.06,0.38
INE818H01020,"11,23,442",434.21,0.29
