ISIN,Instrument Name,Industry,Security Code,Security Id,Status,Group,Face Value,Instrument
INE117A01022,ABB India Limited,Heavy Electrical Equipment,500002,ABB,Active,A,2,Equity
INE208C01025,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution,500003,AEGISLOG,Active,A,1,Equity
INE424A01014,TORRENT POWER AEC LTD.,,500004,TPAEC,Delisted,B,10,Equity
INE984C01013,AKAR LAMINATORS LTD.,Iron & Steel Products,500005,AKARLAMIN,Delisted,XD,10,Equity
INE256B01026,ALPHA DRUG INDIA LTD.,,500006,ALPHADR,Delisted,B,10,Equity
INE885A01032,AMARA RAJA BATTERIES LTD.,Auto Parts & Equipment,500008,AMARAJABAT,Active,A,1,Equity
INE432A01017,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals,500009,AMBALALSA,Active,X,10,Equity
INE001A01036,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance,500010,HDFC,Active,A,2,Equity
NA,AMRUT INDUSTRIES LTD.,,500011,AMRTMIL-BDM,Delisted,Z,10,Equity
INE714B01016,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals,500012,ANDHRAPET,Active,X,10,Equity
INE436A01026,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Realty,500013,ANSALAPI,Active,B,5,Equity
INE096A01010,APPLE FINANCE LTD.,Finance (including NBFCs),500014,APPLEFIN,Active,XT,10,Equity
INE005A01011,ICICI LTD.,,500015,ICICIDM,Delisted,B,10,Equity
INE957C01019,ARUNA HOTELS LTD.,Hotels,500016,ARUNAHTEL,Active,XT,10,Equity
INE035A01018,ARPOLDM,,500018,ARPOLDM,Delisted,B,10,Equity
INE320A01014,BANK OF RAJASTHAN LTD.,Banks,500019,BOR,Delisted,B,10,Equity
INE032A01023,BOMBAY DYEING & MFG.CO.LTD.,Textiles,500020,BOMDYEING,Active,B,2,Equity
NA,ASINCOF,,500021,ASINCOF,Delisted,Z,10,Equity
INE363A01022,Asian Hotels (North) Limited,Hotels,500023,ASIANHOTNR,Active,B,10,Equity
INE442A01024,Assam Company (India) Limited,Tea & Coffee,500024,ASSAMCO,Active,B,1,Equity
INE353C01011,ASSAMBROOK LTD.,Tea & Coffee,500025,ASSAMBR,Delisted,X,10,Equity
NA,ATASH INDUSTRIES LTD.,,500026,ATSHIND,Delisted,Z,10,Equity
INE100A01010,ATUL LTD.,Agrochemicals,500027,ATUL,Active,A,10,Equity
INE447A01015,ATV PROJECTS INDIA LTD.,Construction & Engineering,500028,ATVPR,Active,XT,10,Equity
