ISIN,Instrument Name,dec18
INE356A01018,MphasiS Limited,212.99999999999997
INE030A01027,Hindustan Unilever Limited,67.2
INE095A01012,IndusInd Bank Limited,93.60000000000001
INE481G01011,UltraTech Cement Limited,128.4
INE205A01025,Vedanta Limited,9.0
INE182A01018,Pfizer Limited,324.6
INE043D01016,IDFC Limited,4.8
INE159A01016,GlaxoSmithKline Pharmaceuticals Limited,309.6
INE066A01013,Eicher Motors Limited,257.4
INE725G01011,ICRA Limited,114.6
INE376G01013,Biocon Limited,155.4
INE332A01027,Thomas Cook (India) Limited,290.99999999999994
INE406M01024,Eris Lifesciences Limited,134.4
INE342J01019,WABCO India Limited,132.0
INE044A01036,Sun Pharmaceutical Industries Limited,13.799999999999999
INE009A01021,Infosys Limited,214.80000000000004
INE775A01035,Motherson Sumi Systems Limited,0.0
INE467B01029,Tata Consultancy Services Limited,361.2
INE002A01018,Reliance Industries Limited,433.2
INE498B01024,Shoppers Stop Limited,212.4
INE670A01012,Tata Elxsi Limited,0.0
IDIA00028484,Magnasound (I) Limited ** #,0.0
INE585B01010,Maruti Suzuki India Limited,417.6
INE765G01017,ICICI Lombard General Insurance Company Limited,334.8
INE854D01024,United Spirits Limited,0.0
INE237A01028,Kotak Mahindra Bank Limited,782.3999999999999
INE782A01015,Johnson Controls – Hitachi Air Conditioning India Limited,182.4
INE700A01033,Jubilant Life Sciences Limited,0.0
INE462A01022,Bayer Cropscience Limited,432.0
INE214T01019,Larsen & Toubro Infotech Limited,0.0
INE090A01021,ICICI Bank Limited,278.4
INE322A01010,Gillette India Limited,406.8
INE918I01018,Bajaj Finserv Limited,164.4
INE280A01028,Titan Company Limited,0.0
INE117A01022,ABB India Limited,301.2
INE298A01020,Cummins India Limited,124.2
INE029A01011,Bharat Petroleum Corporation Limited,115.79999999999998
INE347G01014,Petronet LNG Limited,80.4
INE047A01021,Grasim Industries Limited,41.4
INE615P01015,Quess Corp Limited,133.8
INE070A01015,Shree Cement Limited,121.8
INE323A01026,Bosch Limited,121.8
INE216A01030,Britannia Industries Limited,231.0
INE296A01024,Bajaj Finance Limited,0.0
INE696A01025,United Breweries (Holdings) Limited ** #,0.0
INE883A01011,MRF Limited,102.00000000000001
INE976G01028,RBL Bank Limited,66.60000000000001
INE528G01027,Yes Bank Limited,121.20000000000002
INE238A01034,Axis Bank Limited,57.0
INE122R01018,Manpasand Beverages Limited,0.0
INE176A01028,Bata India Limited,83.39999999999999
INE031B01049,Ajanta Pharma Limited,0.0
INE795G01014,HDFC Life insurance Company Limited,317.40000000000003
INE477A01020,Can Fin Homes Limited,0.0
INE531A01024,Kansai Nerolac Paints Limited,270.6
INE154A01025,ITC Limited,16.2
INE018A01030,Larsen & Toubro Limited,358.2
INE180A01020,Max Financial Services Limited,223.20000000000002
INE176B01034,Havells India Limited,169.2
INE571A01020,IPCA Laboratories Limited,160.2
INE242A01010,Indian Oil Corporation Limited,0.0
INE674K01013,Aditya Birla Capital Limited,6.0
INE105A01035,Sundaram Clayton Limited,265.2
INE094A01015,Hindustan Petroleum Corporation Limited,109.2
INE766P01016,Mahindra Logistics Limited,125.39999999999999
INE179A01014,Procter & Gamble Hygiene and Health Care Limited,54.00000000000001
INE646L01027,Interglobe Aviation Limited,0.0
INE671A01010,Honeywell Automation India Limited,453.0
INE092T01019,IDFC Bank Limited,143.4
INE802G01018,Jet Airways (India) Limited,44.4
INE180K01011,Bharat Financial Inclusion Limited,15.6
INE464A01028,Bharat Bijlee Limited,4.2
INE256A01028,Zee Entertainment Enterprises Limited,121.8
INE101A01026,Mahindra & Mahindra Limited,11.4
INE155A01022,Tata Motors Limited,22.2
INE358A01014,Abbott India Limited,155.4
INE055A01016,Century Textiles & Industries Limited,51.6
INE001A01036,Housing Development Finance Corporation Limited,600.0
INE226A01021,Voltas Limited,150.6
INE040A01026,HDFC Bank Limited,878.4
INE208A01029,Ashok Leyland Limited,57.0
INE111A01025,Container Corporation of India Limited,228.0
